"","Month._Year","Site","Sample..Type","Diel_Time","Y.II.","Experiment"
"1","July_24","SB","Internal","T0",0.542857143,"Diel"
"2","July_24","SB","Internal","T0",0.340206186,"Diel"
"3","July_24","SB","Internal","T0",0.223684211,"Diel"
"4","July_24","SB","Internal","T0",0.245508982,"Diel"
"5","July_24","SB","Internal","T0",0.193548387,"Diel"
"6","July_24","SB","Internal","T1",0.210526316,"Diel"
"7","July_24","SB","Internal","T1",0.2,"Diel"
"8","July_24","SB","Internal","T1",0.279069767,"Diel"
"9","July_24","SB","Internal","T1",0.260416667,"Diel"
"10","July_24","SB","Internal","T1",0.264705882,"Diel"
"11","July_24","SB","Internal","T2",0.391304348,"Diel"
"12","July_24","SB","Internal","T2",0.362204724,"Diel"
"13","July_24","SB","Internal","T2",0.329787234,"Diel"
"14","July_24","SB","Internal","T2",0.268072289,"Diel"
"15","July_24","SB","Internal","T2",0.101796407,"Diel"
"16","July_24","SB","Internal","T3",0.359223301,"Diel"
"17","July_24","SB","Internal","T3",0.243589744,"Diel"
"18","July_24","SB","Internal","T3",0.309090909,"Diel"
"19","July_24","SB","Internal","T3",0.111940299,"Diel"
"20","July_24","SB","Internal","T3",0.25390625,"Diel"
"21","July_24","SB","Internal","T4",0.373493976,"Diel"
"22","July_24","SB","Internal","T4",0.407407407,"Diel"
"23","July_24","SB","Internal","T4",0.3,"Diel"
"24","July_24","SB","Internal","T4",0.47826087,"Diel"
"25","July_24","SB","Internal","T4",0.285714286,"Diel"
"26","July_24","SB","Internal","T5",0.26,"Diel"
"27","July_24","SB","Internal","T5",0.333333333,"Diel"
"28","July_24","SB","Internal","T5",0.378048781,"Diel"
"29","July_24","SB","Internal","T5",0.267175573,"Diel"
"30","July_24","SB","Internal","T5",0.392156863,"Diel"
"31","July_24","SB","Internal","T6",0.434782609,"Diel"
"32","July_24","SB","Internal","T6",0.472222222,"Diel"
"33","July_24","SB","Internal","T6",0.257142857,"Diel"
"34","July_24","SB","Internal","T6",0.145907473,"Diel"
"35","July_24","SB","Internal","T6",0.131034483,"Diel"
