Month _Year,Site,Sample. Type,Diel_Time,Y(II),Experiment
June_23,TM,Internal,,0.565476191,SM
June_23,TM,Internal,,0.841666667,SM
June_23,TM,Internal,,0.4,SM
June_23,TM,Internal,,0.733333333,SM
June_23,TM,Internal,,0.378947368,SM
June_23,TM,Internal,,0.300546448,SM
June_23,TM,Internal,,0.245283019,SM
June_23,TM,Internal,,0.25462963,SM
June_23,TM,External,,0.447058824,SM
June_23,TM,External,,0.518950437,SM
June_23,TM,External,,0.428571429,SM
June_23,TM,External,,0.551724138,SM
June_23,TM,External,,0.455782313,SM
June_23,TM,External,,0.318181818,SM
June_23,TM,External,,0.440476191,SM
June_23,TM,External,,0.485714286,SM
July_23,TM,Internal,,0.291,SM
July_23,TM,Internal,,0.632,SM
July_23,TM,Internal,,0.206,SM
July_23,TM,Internal,,0.633,SM
July_23,TM,Internal,,0.253,SM
July_23,TM,Internal,,0.0454,SM
July_23,TM,Internal,,0.246,SM
July_23,TM,Internal,,0.391,SM
July_23,TM,External,,0.508,SM
July_23,TM,External,,0.298,SM
July_23,TM,External,,0.438,SM
July_23,TM,External,,0.366,SM
July_23,TM,External,,0.515,SM
July_23,SB,Internal,,0.282352941,SM
July_23,SB,Internal,,0.147435897,SM
July_23,SB,Internal,,0.242152466,SM
July_23,SB,Internal,,0.473214286,SM
July_23,SB,Internal,,0.236842105,SM
July_23,SB,External,,0.727272727,SM
July_23,SB,External,,0.582089552,SM
July_23,SB,External,,0.296551724,SM
July_23,SB,External,,0.205882353,SM
July_23,SB,External,,0.142857143,SM
Oct_23,SB,Internal,,0.459349594,SM
Oct_23,SB,Internal,,0.360946746,SM
Oct_23,SB,External,,0.466463415,SM
Oct_23,SB,External,,0.193548387,SM
Dec_23,TM,Internal,,0.769230769,SM
Dec_23,TM,Internal,,0.641025641,SM
Dec_23,TM,External,,0.493506494,SM
Dec_23,TM,External,,0.714285714,SM
Dec_23,TM,External,,0.604651163,SM
Dec_23,SB,Internal,,0.46875,SM
Dec_23,SB,Internal,,0.838709677,SM
Dec_23,SB,Internal,,0.603174603,SM
Dec_23,SB,Internal,,0.566666667,SM
Dec_23,SB,Internal,,0.390243902,SM
Dec_23,SB,External,,0.32,SM
