"","Sample.ID","Month_Year","Diel_Time","Light","Time","TOM","is.neg","Observed","Shannon","InvSimpson","Evenness"
"MM_DIEL_C10","MM_DIEL_C10","July_2024","1","Light","Afternoon",3.96,FALSE,1877,6.20035018897441,147.015297580754,0.822607992230515
"MM_DIEL_C11","MM_DIEL_C11","July_2024","1","Light","Afternoon",2.63,FALSE,1735,6.50402796395507,294.445640884514,0.871998243166908
"MM_DIEL_C12","MM_DIEL_C12","July_2024","1","Light","Afternoon",1.16,FALSE,2466,6.68992808924227,282.688822845481,0.856546222705559
"MM_DIEL_C5","MM_DIEL_C5","July_2024","0","Light","Afternoon",0.81,FALSE,1939,6.52796231566631,294.968604733204,0.862354650264759
"MM_DIEL_C6","MM_DIEL_C6","July_2024","0","Light","Afternoon",1.02,FALSE,1897,6.43361385922133,229.773933307903,0.852356805312675
"MM_DIEL_C7","MM_DIEL_C7","July_2024","0","Light","Afternoon",1.93,FALSE,2097,6.75337191627674,401.006050244737,0.88299420260398
"MM_DIEL_C8","MM_DIEL_C8","July_2024","0","Light","Afternoon",1.51,FALSE,1720,6.6364456976084,355.347960976655,0.890788566138748
"MM_DIEL_C9","MM_DIEL_C9","July_2024","0","Light","Afternoon",1,FALSE,2946,6.84349155833474,370.449344700249,0.856699691640996
"MM_DIEL_D1","MM_DIEL_D1","July_2024","1","Light","Afternoon",1.14,FALSE,1946,6.53685355595621,265.397795728281,0.863118316829411
"MM_DIEL_D10","MM_DIEL_D10","July_2024","3","Dark","Night",3.45,FALSE,2058,6.68430053617627,349.03225980631,0.876113686422635
"MM_DIEL_D11","MM_DIEL_D11","July_2024","3","Dark","Night",3.69,FALSE,2393,6.74516060207318,343.583328227924,0.866953449738489
"MM_DIEL_D12","MM_DIEL_D12","July_2024","3","Dark","Night",3.14,FALSE,2262,6.69157216261991,315.514218450417,0.866334558309231
"MM_DIEL_D2","MM_DIEL_D2","July_2024","1","Light","Afternoon",1.19,FALSE,1990,6.62293273836017,340.001133960501,0.871910047420672
"MM_DIEL_D3","MM_DIEL_D3","July_2024","2","Light","Evening",3.46,FALSE,1930,6.63153715957366,333.936522504213,0.876575790366891
"MM_DIEL_D4","MM_DIEL_D4","July_2024","2","Light","Evening",3.6,FALSE,2074,6.66855451266803,320.64036484523,0.873163526636901
"MM_DIEL_D5","MM_DIEL_D5","July_2024","2","Light","Evening",3.1,FALSE,1790,6.50556579493054,255.447953423419,0.868570236493522
"MM_DIEL_D6","MM_DIEL_D6","July_2024","2","Light","Evening",3.53,FALSE,1317,6.01308271480174,169.870906528215,0.837113908912543
"MM_DIEL_D7","MM_DIEL_D7","July_2024","2","Light","Evening",3.15,FALSE,2102,6.65157950704354,337.135600216858,0.869414264683658
"MM_DIEL_D8","MM_DIEL_D8","July_2024","3","Dark","Night",3.09,FALSE,1562,6.38705066146545,233.175751328954,0.868546618229241
"MM_DIEL_D9","MM_DIEL_D9","July_2024","3","Dark","Night",3.95,FALSE,2002,6.61044534346305,308.89565030315,0.869577821228781
"MM_DIEL_E1","MM_DIEL_E1","July_2024","4","Dark","Night",3.02,FALSE,2190,6.68378929390433,326.373680598838,0.868966134069156
"MM_DIEL_E10","MM_DIEL_E10","July_2024","5","Light","Morning",2.71,FALSE,2771,6.90093265947015,363.557495425698,0.870564450109306
"MM_DIEL_E11","MM_DIEL_E11","July_2024","6","Light","Afternoon",1.27,FALSE,1920,6.27494834020045,167.623097982216,0.830010787482052
"MM_DIEL_E12","MM_DIEL_E12","July_2024","6","Light","Afternoon",0.85,FALSE,1692,6.16073246966695,193.704334650177,0.828760940025867
"MM_DIEL_E2","MM_DIEL_E2","July_2024","4","Dark","Night",2.5,FALSE,1198,5.70482221163409,121.062094565873,0.804809991883699
"MM_DIEL_E3","MM_DIEL_E3","July_2024","4","Dark","Night",3.2,FALSE,2203,6.64120403882166,291.417231195511,0.862765707331528
"MM_DIEL_E4","MM_DIEL_E4","July_2024","4","Dark","Night",2.79,FALSE,2812,6.88718320561747,373.386230827369,0.867223073170838
"MM_DIEL_E5","MM_DIEL_E5","July_2024","4","Dark","Night",4.15,FALSE,1973,6.66897977932783,341.109363473754,0.878964920973534
"MM_DIEL_E6","MM_DIEL_E6","July_2024","5","Light","Morning",3.25,FALSE,1871,6.36035472013017,192.306514989817,0.844194580346036
"MM_DIEL_E7","MM_DIEL_E7","July_2024","5","Light","Morning",3.63,FALSE,2018,6.58569591256892,293.596703867575,0.865415921956946
"MM_DIEL_E8","MM_DIEL_E8","July_2024","5","Light","Morning",3.44,FALSE,1738,6.5646073073646,287.346461095836,0.879916337702201
"MM_DIEL_E9","MM_DIEL_E9","July_2024","5","Light","Morning",2.82,FALSE,3465,7.18062148497817,562.076494139574,0.881007270114803
"MM_DIEL_F1","MM_DIEL_F1","July_2024","6","Light","Afternoon",1.13,FALSE,2030,6.7028359623434,349.968742712872,0.880123403982984
"MM_DIEL_F2","MM_DIEL_F2","July_2024","6","Light","Afternoon",0.98,FALSE,1676,6.57283299229659,341.69977253192,0.88532956143644
"MM_DIEL_F3","MM_DIEL_F3","July_2024","6","Light","Afternoon",1.01,FALSE,1578,6.33499075711226,210.265353940824,0.860275009463769
