"","Sample.ID","Experiment","Month_Year","Month","Year","Site","TOM","TOC","TN","NUT","is.neg","Month_num","Observed","Shannon","InvSimpson","Evenness"
"MM_A24SM_A1","MM_A24SM_A1","Seasonal","August_2024","August",2024,"TM",1.36,0.55,0.03,"Cornell",FALSE,8,2876,7.17408627364599,611.428071275644,0.900796836088241
"MM_A24SM_A10","MM_A24SM_A10","Seasonal","August_2024","August",2024,"SB",2.42,0.14,NA,"Cornell",FALSE,8,3098,6.74847926444117,251.887753081091,0.8395184639683
"MM_A24SM_A2","MM_A24SM_A2","Seasonal","August_2024","August",2024,"TM",1.01,0.38,0.03,"Cornell",FALSE,8,2540,6.97905923804229,422.518682136522,0.89019528359423
"MM_A24SM_A3","MM_A24SM_A3","Seasonal","August_2024","August",2024,"TM",1.04,0.97,0.03,"Cornell",FALSE,8,2392,6.97195432774302,483.166327754403,0.896151321596967
"MM_A24SM_A4","MM_A24SM_A4","Seasonal","August_2024","August",2024,"TM",1.4,0.76,NA,"Cornell",FALSE,8,3136,7.13381282350367,497.342143817811,0.886110503080144
"MM_A24SM_A5","MM_A24SM_A5","Seasonal","August_2024","August",2024,"TM",NA,0.36,0.06,"Cornell",FALSE,8,2537,6.9024997847524,312.267162600564,0.880562684012763
"MM_A24SM_A6","MM_A24SM_A6","Seasonal","August_2024","August",2024,"SB",1.39,NA,NA,"Cornell",FALSE,8,1888,6.37162422847956,225.107832113253,0.844676301073245
"MM_A24SM_A7","MM_A24SM_A7","Seasonal","August_2024","August",2024,"SB",2.18,NA,0.01,"Cornell",FALSE,8,2081,6.43062719216727,242.373797313023,0.841638611068063
"MM_A24SM_A8","MM_A24SM_A8","Seasonal","August_2024","August",2024,"SB",1.08,0.53,0.02,"Cornell",FALSE,8,1797,6.37905629782842,206.83385699256,0.851236142241296
"MM_A24SM_A9","MM_A24SM_A9","Seasonal","August_2024","August",2024,"SB",1.91,NA,0.17,"Cornell",FALSE,8,2824,6.70214401739431,254.473516837333,0.843470962539531
"MM_J25SM_A11","MM_J25SM_A11","Seasonal","July_2025","July",2025,"TM",NA,NA,NA,"",FALSE,9,1892,6.55134449501134,304.763048929705,0.868257931321358
"MM_J25SM_A12","MM_J25SM_A12","Seasonal","July_2025","July",2025,"TM",NA,NA,NA,"",FALSE,9,2295,6.38431262309573,196.627453894513,0.825007743377867
"MM_J25SM_B1","MM_J25SM_B1","Seasonal","July_2025","July",2025,"TM",NA,NA,NA,"",FALSE,9,1859,6.40258462295983,228.285306172693,0.850526015111873
"MM_J25SM_B2","MM_J25SM_B2","Seasonal","July_2025","July",2025,"TM",NA,NA,NA,"",FALSE,9,1558,6.12883210689533,159.576141618953,0.833723328775517
"MM_J25SM_B3","MM_J25SM_B3","Seasonal","July_2025","July",2025,"TM",NA,NA,NA,"",FALSE,9,1492,6.29045590959653,253.728947579582,0.8607779716903
"MM_J25SM_B4","MM_J25SM_B4","Seasonal","July_2025","July",2025,"TM",NA,NA,NA,"",FALSE,9,1893,6.54183165700203,303.567117671077,0.866936471601354
"MM_SM_A1","MM_SM_A1","Seasonal","June_2023","June",2023,"TM",0.79,1.87,NA,"Brown",FALSE,1,1556,6.61263244519995,262.062699419164,0.899693343157299
"MM_SM_A10","MM_SM_A10","Seasonal","July_2023","July",2023,"TM",2.28,NA,0.068,"Brown",FALSE,2,1918,6.82121272277034,434.696913244659,0.902391612829618
"MM_SM_A11","MM_SM_A11","Seasonal","October_2023","October",2023,"TM",0.82,NA,0,"Brown",FALSE,3,1413,6.61129540608375,382.345766356203,0.911466519787028
"MM_SM_A12","MM_SM_A12","Seasonal","October_2023","October",2023,"TM",0.93,NA,0,"Brown",FALSE,3,1165,6.34143506635274,263.700717730319,0.898159661986881
"MM_SM_A2","MM_SM_A2","Seasonal","June_2023","June",2023,"TM",0.65,NA,0,"Brown",FALSE,1,1393,6.62922005838747,359.396027948608,0.915737422137384
"MM_SM_A3","MM_SM_A3","Seasonal","June_2023","June",2023,"TM",0.28,0.98,NA,"Brown",FALSE,1,1275,6.53057522999845,369.635174706815,0.913277567065028
"MM_SM_A4","MM_SM_A4","Seasonal","June_2023","June",2023,"TM",0.98,0.37,0,"Brown",FALSE,1,1548,6.82057322375654,576.920199003168,0.928636367636554
"MM_SM_A5","MM_SM_A5","Seasonal","June_2023","June",2023,"TM",0.87,NA,0,"Brown",FALSE,1,1272,6.47957592710924,269.475989326125,0.906444114379678
"MM_SM_A6","MM_SM_A6","Seasonal","July_2023","July",2023,"TM",1.1,NA,0,"Brown",FALSE,2,891,6.13948718026967,209.851032106378,0.903883371320109
"MM_SM_A7","MM_SM_A7","Seasonal","July_2023","July",2023,"TM",2.39,NA,0,"Brown",FALSE,2,955,6.25837723967188,274.707684590091,0.912072357627539
"MM_SM_A8","MM_SM_A8","Seasonal","July_2023","July",2023,"TM",1.28,1.64,NA,"Brown",FALSE,2,629,5.95739430411852,245.598891525935,0.92446818148283
"MM_SM_A9","MM_SM_A9","Seasonal","July_2023","July",2023,"TM",1.58,2.21,NA,"Brown",FALSE,2,1131,6.27840975163475,208.126674374008,0.892979238017917
"MM_SM_B1","MM_SM_B1","Seasonal","October_2023","October",2023,"TM",0.91,NA,0.085,"Brown",FALSE,3,1213,6.41912244622577,310.550732441687,0.903993285388815
"MM_SM_B10","MM_SM_B10","Seasonal","December_2023","December",2023,"TM",0.76,NA,0,"Brown",FALSE,4,1468,6.69263239082692,464.906977505278,0.917848044235294
"MM_SM_B11","MM_SM_B11","Seasonal","December_2023","December",2023,"TM",0.72,0.85,NA,"Brown",FALSE,4,646,6.01982199901324,273.733124317085,0.93030575209358
"MM_SM_B12","MM_SM_B12","Seasonal","December_2023","December",2023,"TM",0.57,0.41,NA,"Brown",FALSE,4,1042,6.43215933228709,384.996275960801,0.925637425120212
"MM_SM_B2","MM_SM_B2","Seasonal","October_2023","October",2023,"TM",0.84,0.04,NA,"Brown",FALSE,3,639,5.83255389333903,189.361932509264,0.902885473698705
"MM_SM_B3","MM_SM_B3","Seasonal","October_2023","October",2023,"TM",0.97,0.28,NA,"Brown",FALSE,3,902,6.11275962010881,207.436791428954,0.898325629186788
"MM_SM_B4","MM_SM_B4","Seasonal","October_2023","October",2023,"SB",0.86,NA,0.134,"Brown",FALSE,3,1123,6.37200195275541,301.824418705931,0.907206809603946
"MM_SM_B5","MM_SM_B5","Seasonal","October_2023","October",2023,"SB",0.8,NA,0.191,"Brown",FALSE,3,1190,6.14063165617829,133.847332723088,0.867111599060474
"MM_SM_B6","MM_SM_B6","Seasonal","October_2023","October",2023,"SB",1.06,NA,0.183,"Brown",FALSE,3,1124,6.19925179061068,171.229781698936,0.88249986066711
"MM_SM_B7","MM_SM_B7","Seasonal","October_2023","October",2023,"SB",1.16,1.94,NA,"Brown",FALSE,3,1066,6.14202371792779,138.240900049185,0.880997658690257
