"","Family","Variable","Correlation_Coefficient","P_value"
"1","A4b","TOM.x",-0.276785872411512,0.107475676466852
"2","Balneolaceae","TOM.x",-0.0231812730725268,0.894842544541306
"3","Chromatiaceae","TOM.x",0.177720716007646,0.307071917823393
"4","Cyclobacteriaceae","TOM.x",-0.279451931834639,0.103993459588243
"5","Desulfocapsaceae","TOM.x",0.197339777494797,0.255832696333925
"6","Flavobacteriaceae","TOM.x",-0.0322528182458325,0.85406978398434
"7","Halieaceae","TOM.x",0.0762042458498591,0.663496317200354
"8","Phycisphaeraceae","TOM.x",-0.132071357736891,0.449475043464317
"9","Pirellulaceae","TOM.x",-0.0423607224968899,0.809077505371629
"10","Puniceicoccaceae","TOM.x",-0.0234293607806963,0.893723479117318
"11","Rhodobacteraceae","TOM.x",0.156401321232131,0.369602572789885
"12","Saprospiraceae","TOM.x",-0.0294192521986108,0.866770627148657
