"","OTU","Sample","Abundance","Sample.ID","Month_Year","Diel_Time","TOM","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","V7"
"1","sq13","MM_DIEL_D6",0.192152969169933,"MM_DIEL_D6","July_2024",2,3.53,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"2","sq13","MM_DIEL_D12",0.164979805504111,"MM_DIEL_D12","July_2024",3,3.14,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"3","sq13","MM_DIEL_E5",0.158890682432564,"MM_DIEL_E5","July_2024",4,4.15,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"4","sq13","MM_DIEL_C12",0.155728706264792,"MM_DIEL_C12","July_2024",1,1.16,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"5","sq13","MM_DIEL_D1",0.154219849451808,"MM_DIEL_D1","July_2024",1,1.14,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"6","sq13","MM_DIEL_D2",0.14393876188887,"MM_DIEL_D2","July_2024",1,1.19,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"7","sq2","MM_DIEL_E2",0.143470790378007,"MM_DIEL_E2","July_2024",4,2.5,FALSE,"Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA
"8","sq13","MM_DIEL_D5",0.142857142857143,"MM_DIEL_D5","July_2024",2,3.1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"9","sq13","MM_DIEL_D11",0.140779948518705,"MM_DIEL_D11","July_2024",3,3.69,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"10","sq13","MM_DIEL_E3",0.139961091214573,"MM_DIEL_E3","July_2024",4,3.2,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"11","sq13","MM_DIEL_E7",0.139121624881398,"MM_DIEL_E7","July_2024",5,3.63,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"12","sq13","MM_DIEL_C11",0.137370467059588,"MM_DIEL_C11","July_2024",1,2.63,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"13","sq13","MM_DIEL_C5",0.137283251605076,"MM_DIEL_C5","July_2024",0,0.81,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"14","sq13","MM_DIEL_D8",0.136685242001127,"MM_DIEL_D8","July_2024",3,3.09,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"15","sq13","MM_DIEL_D4",0.135956352022711,"MM_DIEL_D4","July_2024",2,3.6,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16","sq13","MM_DIEL_F2",0.132328860132598,"MM_DIEL_F2","July_2024",6,0.98,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"17","sq13","MM_DIEL_F3",0.130579387776719,"MM_DIEL_F3","July_2024",6,1.01,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"18","sq13","MM_DIEL_E4",0.126327173845869,"MM_DIEL_E4","July_2024",4,2.79,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
