"","Diel_Time","Family_grouped","Percentage"
"1",0,"A4b",5.73403084486938
"2",0,"Balneolaceae",2.80541735287591
"3",0,"Chromatiaceae",1.6571143076238
"4",0,"Coleofasciculaceae",1.69118255408976
"5",0,"Cryomorphaceae",1.56727337123785
"6",0,"Cyclobacteriaceae",4.77118256041811
"7",0,"Desulfocapsaceae",2.23204679387609
"8",0,"Desulfovibrionaceae",1.14926912623066
"9",0,"Flammeovirgaceae",1.53015642097012
"10",0,"Flavobacteriaceae",5.29364118030043
"11",0,"Halieaceae",3.6024089076877
"12",0,"Hyphomonadaceae",1.24606190442846
"13",0,"ML635J-40 aquatic group",1.495678789286
"14",0,"Marinobacteraceae",1.37430594159522
"15",0,"Phormidesmiaceae",1.25044958589843
"16",0,"Phycisphaeraceae",2.63768037326609
"17",0,"Pirellulaceae",4.01539718173809
"18",0,"Puniceicoccaceae",5.02760148421256
"19",0,"Rare Families",24.4405520929715
"20",0,"Rhodobacteraceae",10.0029919993073
"21",0,"Rhodothermaceae",1.56102164618283
"22",0,"SB-5",1.14063168816869
"23",0,"Sandaracinaceae",1.11760377235618
"24",0,"Saprospiraceae",4.4774204294757
"25",0,"Sphingomonadaceae",1.59089158687005
"26",0,"Spirochaetaceae",1.82192104701004
"27",0,"Trueperaceae",1.45265197089872
"28",0,"Unknown Family",3.31341508615435
"29",1,"A4b",5.65362976168641
"30",1,"Acanthopleuribacteraceae",1.12437101137102
"31",1,"Balneolaceae",4.06624666711105
"32",1,"Chromatiaceae",2.29099880867104
"33",1,"Cryomorphaceae",1.18818585883002
"34",1,"Cyclobacteriaceae",3.72452472618092
"35",1,"Desertifilaceae",1.65311930346654
"36",1,"Desulfocapsaceae",2.34278682474065
"37",1,"Desulfovibrionaceae",1.01726661773636
"38",1,"Flammeovirgaceae",1.32979766756391
"39",1,"Flavobacteriaceae",4.04385206518379
"40",1,"Halieaceae",4.41320458392394
"41",1,"Hyphomonadaceae",1.27431415398665
"42",1,"Marinobacteraceae",1.47127802790122
"43",1,"Phycisphaeraceae",2.65649106002665
"44",1,"Pirellulaceae",3.82103251897794
"45",1,"Puniceicoccaceae",2.92647371756601
"46",1,"Rare Families",26.7894588560684
"47",1,"Rhodobacteraceae",13.3324838136276
"48",1,"Rhodothermaceae",1.21116344285397
"49",1,"Saprospiraceae",4.12538132930784
"50",1,"Sphingomonadaceae",1.77398784615951
"51",1,"Spirochaetaceae",1.38859332100313
"52",1,"Trueperaceae",1.41303787222061
"53",1,"Unknown Family",3.92056718832434
"54",1,"Woeseiaceae",1.04775295551044
"55",2,"A4b",5.04128904852294
"56",2,"Balneolaceae",2.29795550462275
"57",2,"Chromatiaceae",2.13168771077314
"58",2,"Cryomorphaceae",1.36023647406351
"59",2,"Cyclobacteriaceae",3.45859831301813
"60",2,"Desertifilaceae",1.95154730777499
"61",2,"Desulfocapsaceae",2.49941628966422
"62",2,"Flammeovirgaceae",1.23199742693647
"63",2,"Flavobacteriaceae",3.76696543692924
"64",2,"Halieaceae",4.1637655435259
"65",2,"Hyphomonadaceae",1.04686090501379
"66",2,"ML635J-40 aquatic group",1.06255032097628
"67",2,"Marinobacteraceae",1.42104892288675
"68",2,"Phormidesmiaceae",1.5563886038707
"69",2,"Phycisphaeraceae",1.64982092286635
"70",2,"Pirellulaceae",3.32248036188532
"71",2,"Puniceicoccaceae",3.73079463114796
"72",2,"Rare Families",28.6825924117571
"73",2,"Rhodobacteraceae",14.3285728561242
"74",2,"Rhodothermaceae",1.10636256652795
"75",2,"Saprospiraceae",5.27505759969478
"76",2,"Sphingomonadaceae",1.51599654963093
"77",2,"Spirochaetaceae",1.80130878751458
"78",2,"Trueperaceae",1.7723832471189
"79",2,"Unknown Family",3.82432225715319
"80",3,"A4b",4.55832213083567
"81",3,"Balneolaceae",2.25545850898694
"82",3,"Chromatiaceae",3.04821668472093
"83",3,"Cryomorphaceae",1.89049278882421
"84",3,"Cyclobacteriaceae",3.74794704164544
"85",3,"Desertifilaceae",1.52256478536486
