"","Sample","Description","Site","Sample.Type","Mat","X..Organic.Matter","X..Organic.Carbon","X..Nitrogen","is.neg","Observed","Shannon","InvSimpson","Evenness"
"D1","D1","SB3 1N1 ","SB","Internal",1,1.016765819,NA,0,FALSE,2864,6.97344443176896,479.333640175227,0.876063661657286
"D10","D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,2508,6.77234160751913,360.02865440339,0.865227184460689
"D11","D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,2625,6.93505620998367,442.294618438338,0.880884100190362
"D12","D12","SB4 5E1","SB","External",5,0.897520783,0.4,0,FALSE,1426,6.08979356855592,131.258860297311,0.838510944610194
"D2","D2","SB3 1E2","SB","External",1,0.994590822,NA,0,FALSE,2033,6.56789229717623,293.539974600344,0.86223728216899
"D3","D3","SB3 2N1","SB","Internal",2,0.775372332,0.11,NA,FALSE,1604,6.42389421255246,282.406815467533,0.870416201918944
"D4","D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,1834,6.60567727364493,355.30167624374,0.879086160750363
"D5","D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,2260,6.75744325244492,369.973094267027,0.874962861086621
"D6","D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,1786,6.53245964313024,310.871687389122,0.87242146305654
"D7","D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,2320,6.69013421990519,290.089173306935,0.863318599840769
"D8","D8","SB4 3E1","SB","External",3,0.797997922,NA,0,FALSE,1835,6.48418113458528,251.154640483707,0.86285481200415
"D9","D9","SB4 4N1","SB","Internal",4,1.337102689,1.856,NA,FALSE,2316,6.74557293141308,338.724889288493,0.870666488184373
"E1","E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,1078,6.19964057940394,179.870606362313,0.887836522076818
"E10","E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,3392,7.14391705929805,339.235755867425,0.878799762831033
"E11","E11","TM3 28N1","TM","Internal",28,1.477155617,2.427,0.039,FALSE,2144,6.8256832460907,403.950536107716,0.889869871851862
"E12","E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,2665,7.00377022088924,451.841231017565,0.887906481514416
"E2","E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,2217,6.64068697145145,179.603328765671,0.861989144572622
"E3","E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,2383,6.8781410900578,387.491240379341,0.8845214696611
"E4","E4","TM2 22E1","TM","External",22,1.31061599,0.595,NA,FALSE,2269,6.82493099628493,361.589011392095,0.88324673779104
"E5","E5","TM2 23N1","TM","Internal",23,1.041089822,0.484,0,FALSE,1848,6.79683458344278,391.8691977734,0.903610976428914
"E6","E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,2166,6.78721584527509,329.632564441674,0.883678719284428
"E7","E7","TM3 26N1","TM","Internal",26,1.910828025,NA,0.056,FALSE,2129,6.57728416022833,193.388098221635,0.858271469800473
"E8","E8","TM3 26E1","TM","External",26,1.169004676,NA,0.034,FALSE,1782,6.27387619284495,83.8010951137941,0.838138163980315
"E9","E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,2974,7.20462448020171,648.154672737873,0.900841203958802
