"","Family","Variable","Correlation_Coefficient","P_value"
"1","A4b","X..Nitrogen.x",-0.289693650497099,0.486449028367251
"2","A4b","X..Organic.Carbon.x",-0.22857558793912,0.586114720280596
"3","A4b","X..Organic.Matter.x",-0.279071655956041,0.503273855316237
"4","Cyclobacteriaceae","X..Nitrogen.x",0.039919747100579,0.925229955618122
"5","Cyclobacteriaceae","X..Organic.Carbon.x",0.266732336998235,0.52309178626225
"6","Cyclobacteriaceae","X..Organic.Matter.x",0.213876272100882,0.611043363459009
"7","Desulfocapsaceae","X..Nitrogen.x",0.123719172968077,0.770382805173453
"8","Desulfocapsaceae","X..Organic.Carbon.x",0.147975543627336,0.726569481098358
"9","Desulfocapsaceae","X..Organic.Matter.x",0.417191102813459,0.303791780130736
"10","Desulfosarcinaceae","X..Nitrogen.x",0.135328326448886,0.749340329737844
"11","Desulfosarcinaceae","X..Organic.Carbon.x",0.125300809523091,0.767508473945899
"12","Desulfosarcinaceae","X..Organic.Matter.x",0.28391197130411,0.495579565900538
"13","Flavobacteriaceae","X..Nitrogen.x",0.631587627131036,0.0930132194099584
"14","Flavobacteriaceae","X..Organic.Carbon.x",0.573208217528055,0.137451069022828
"15","Flavobacteriaceae","X..Organic.Matter.x",0.459943800161286,0.25151189092663
"16","Halieaceae","X..Nitrogen.x",0.185239808361193,0.660538917886852
"17","Halieaceae","X..Organic.Carbon.x",0.390168176958909,0.339288674733663
"18","Halieaceae","X..Organic.Matter.x",0.317655113942719,0.443249947597679
"19","Pirellulaceae","X..Nitrogen.x",0.08952225475064,0.83304043153895
"20","Pirellulaceae","X..Organic.Carbon.x",0.143250520451136,0.735057156400144
"21","Pirellulaceae","X..Organic.Matter.x",0.50638585152596,0.200353597642599
"22","Puniceicoccaceae","X..Nitrogen.x",-0.246470109889063,0.556243025251452
"23","Puniceicoccaceae","X..Organic.Carbon.x",-0.165724627037366,0.694908908093916
"24","Puniceicoccaceae","X..Organic.Matter.x",-0.205788264760444,0.624902214280088
"25","Rhodobacteraceae","X..Nitrogen.x",-0.175629303457319,0.677404142819497
"26","Rhodobacteraceae","X..Organic.Carbon.x",-0.442977410206604,0.271677163553412
"27","Rhodobacteraceae","X..Organic.Matter.x",-0.788588414912587,0.0200353410026068
"28","Saprospiraceae","X..Nitrogen.x",0.00362329891567328,0.99320637399255
"29","Saprospiraceae","X..Organic.Carbon.x",-0.117222985544634,0.782212086541472
"30","Saprospiraceae","X..Organic.Matter.x",-0.379573526431432,0.353704278940477
"31","Woeseiaceae","X..Nitrogen.x",-0.26031708644054,0.533507667280053
"32","Woeseiaceae","X..Organic.Carbon.x",-0.10366231031067,0.807021107042817
"33","Woeseiaceae","X..Organic.Matter.x",0.321967750850842,0.4367332819701
