"","Sample.Type","Family_grouped","Percentage"
"1","External","A4b",2.96460640141753
"2","External","Chromatiaceae",1.55419131852934
"3","External","Cyclobacteriaceae",2.78916731204805
"4","External","Desertifilaceae",1.6294902301928
"5","External","Desulfobacteraceae",1.03941590960788
"6","External","Desulfobulbaceae",1.32590922180764
"7","External","Desulfocapsaceae",8.78560252180835
"8","External","Desulfosarcinaceae",2.42087674514798
"9","External","Desulfovibrionaceae",1.77631653607139
"10","External","Flavobacteriaceae",7.61163640420677
"11","External","Halieaceae",3.53647120539599
"12","External","Phycisphaeraceae",1.00882104661983
"13","External","Pirellulaceae",4.5150344622129
"14","External","Puniceicoccaceae",1.95171246202672
"15","External","Rare Families",29.2825949533029
"16","External","Rhodobacteraceae",10.8184826739334
"17","External","Saprospiraceae",7.351783338184
"18","External","Sphingomonadaceae",1.08168380114962
"19","External","Spirochaetaceae",1.1437696637785
"20","External","Unknown Family",2.98797841171753
"21","External","Woeseiaceae",4.42445538084077
"22","Internal","A4b",3.77394313387052
"23","Internal","Bacteroidetes BD2-2",1.28326080615936
"24","Internal","Chromatiaceae",1.69195463221579
"25","Internal","Cyclobacteriaceae",2.90393794103094
"26","Internal","Desulfobacteraceae",1.75064611893313
"27","Internal","Desulfobulbaceae",1.50497168960986
"28","Internal","Desulfocapsaceae",8.53510349291536
"29","Internal","Desulfosarcinaceae",2.9788876764334
"30","Internal","Desulfovibrionaceae",1.1905392606295
"31","Internal","Flavobacteriaceae",6.09036725443747
"32","Internal","Halieaceae",3.67893709763827
"33","Internal","Phycisphaeraceae",1.14973545568591
"34","Internal","Pirellulaceae",4.17029844636607
"35","Internal","Prolixibacteraceae",1.00582180541887
"36","Internal","Puniceicoccaceae",2.23828372759124
"37","Internal","Rare Families",31.2226848506134
"38","Internal","Rhodobacteraceae",9.67327199991768
"39","Internal","Saprospiraceae",6.30839739758661
"40","Internal","Spirochaetaceae",1.40669337036633
"41","Internal","Unknown Family",2.66896489907208
"42","Internal","Woeseiaceae",4.7732989435082
