"","Site","Family_grouped","Percentage"
"1","SB","A4b",6.1986996564772
"2","SB","Bdellovibrionaceae",1.19781041338661
"3","SB","Cyclobacteriaceae",3.38345746244311
"4","SB","Desertifilaceae",2.3022779423043
"5","SB","Desulfobacteraceae",1.35898485386217
"6","SB","Desulfocapsaceae",3.71707707096564
"7","SB","Flammeovirgaceae",1.53362828466362
"8","SB","Flavobacteriaceae",5.05590552093417
"9","SB","Halieaceae",4.07542624901961
"10","SB","Nodosilineaceae",1.00726205901971
"11","SB","Phormidesmiaceae",1.39337266754793
"12","SB","Phycisphaeraceae",1.67953675389381
"13","SB","Pirellulaceae",3.81484428599359
"14","SB","Puniceicoccaceae",3.15925624338028
"15","SB","Rare Families",27.1133815563954
"16","SB","Rhodobacteraceae",13.0423878448254
"17","SB","Saprospiraceae",10.0511672095551
"18","SB","Sphingomonadaceae",1.37700635547788
"19","SB","Spirochaetaceae",1.375647042191
"20","SB","Trueperaceae",1.02891184265951
"21","SB","Unknown Family",2.3401262155009
"22","SB","Woeseiaceae",3.79383246950301
"23","TM","Anaerolineaceae",1.02116380966995
"24","TM","Bacteroidetes BD2-2",1.5229199343806
"25","TM","Chromatiaceae",2.64871538180616
"26","TM","Coleofasciculaceae",1.08718878997284
"27","TM","Cyclobacteriaceae",2.30964779063588
"28","TM","Desulfobacteraceae",1.43107717467884
"29","TM","Desulfobulbaceae",2.31943205625952
"30","TM","Desulfocapsaceae",13.6036289437581
"31","TM","Desulfosarcinaceae",4.58067402792875
"32","TM","Desulfovibrionaceae",2.22733314280921
"33","TM","Flavobacteriaceae",8.64609813771007
"34","TM","Halieaceae",3.13998205401465
"35","TM","Pirellulaceae",4.87048862258538
"36","TM","Prolixibacteraceae",1.4583991896681
"37","TM","Puniceicoccaceae",1.03073994623768
"38","TM","Rare Families",23.2749982052888
"39","TM","Rhodobacteraceae",7.4493668290257
"40","TM","Saprospiraceae",3.60901352621546
"41","TM","Spirochaetaceae",1.17481599195383
"42","TM","Sulfurimonadaceae",1.00563625074771
"43","TM","Thermoanaerobaculaceae",1.20642351225944
"44","TM","Thiotrichaceae",1.66151773225864
"45","TM","Unknown Family",3.31681709528871
"46","TM","Woeseiaceae",5.40392185484597
