site,month,water,mat,summer,cond,sal,TDS,pH,RDO Sat,temp,DOC
HH,Mar_2023,sound,0,0,53806.1025,34.6468925,34.973965,8.10097225,89.472005,7.59873975,3.001
JI,Mar_2023,sound,0,0,58253.89667,38.24132667,37.86503333,8.179105222,93.99948889,9.877063667,1.985
MM,Mar_2023,sound,0,0,57369.88433,37.82481517,37.29043448,8.177613333,98.42359324,11.50456667,1.891444444
SBE,June_2023,lagoon,0,1,46759.2,30.90115667,30.39348833,7.42504,114.1849167,27.1587,3.403
SBC,June_2023,lagoon,0,1,36591.40333,23.5437,23.78441333,7.54101,109.4943667,31.13552,7.145
HH,June_2023,sound,0,1,50687.358,33.729928,32.946783,7.53423,79.491877,23.4237,3.754
TM,June_2023,lagoon,1,1,49459.28609,32.85630791,32.14853574,7.931824991,113.8424522,24.86575817,4.325555556
JI,July_2023,sound,0,1,59869.025,40.909915,38.9148675,8.137103,163.21105,30.8158,2.7695
HH,July_2023,sound,0,1,58372.94571,39.75610143,37.94241714,7.67021,84.88113571,31.242,4.7345
BS,July_2023,sound,1,1,58409.3325,39.780305,37.966065,8.0348205,105.9961,30.974,2.8577
FM,July_2023,channel,0,1,59072.2,40.30747667,38.39693,7.742487,91.56475333,31.94447333,3.088
PI,July_2023,river estuary,0,1,56178.06,38.1274125,36.51574,7.87954,105.146325,32.9493,3.291
TI,July_2023,river estuary,0,1,57106.73,38.79361333,37.11937333,7.84912,120.8181333,32.5071,4.2057
TM,July_2023,lagoon,1,1,59250.44067,40.447022,38.51278767,7.973831333,114.6047243,32.047768,2.405083333
SB,July_2023,lagoon,1,1,57546.22227,39.12961773,37.40504455,7.850344364,107.6527,32.22454045,5.033
