"","Family","Variable","Correlation_Coefficient","P_value"
"1","A4b","TN.x",0.119789012796805,0.670669791540532
"2","A4b","TOC.x",-0.372751391373586,0.171204962423205
"3","A4b","TOM.x",-0.174739583593959,0.533367665760883
"4","Cyclobacteriaceae","TN.x",-0.100469118507643,0.721644960414219
"5","Cyclobacteriaceae","TOC.x",-0.704999099333307,0.00333133635058742
"6","Cyclobacteriaceae","TOM.x",-0.242341124857752,0.384171488969737
"7","Desulfocapsaceae","TN.x",-0.201677385199916,0.471039496823959
"8","Desulfocapsaceae","TOC.x",0.502308246124725,0.0563714246181159
"9","Desulfocapsaceae","TOM.x",0.249776560652734,0.369288586811302
"10","Flavobacteriaceae","TN.x",-0.0159264104393668,0.955075415671626
"11","Flavobacteriaceae","TOC.x",0.137429852463474,0.625255262194202
"12","Flavobacteriaceae","TOM.x",0.164340290430152,0.55836487973738
"13","Halieaceae","TN.x",0.193783163996448,0.488929321330753
"14","Halieaceae","TOC.x",0.317362939456447,0.249067673511475
"15","Halieaceae","TOM.x",-0.140390135042586,0.617750126560485
"16","Pirellulaceae","TN.x",-0.602923202106007,0.0173520729807845
"17","Pirellulaceae","TOC.x",-0.0226618603288928,0.936106769131194
"18","Pirellulaceae","TOM.x",-0.210746860036065,0.450886260136869
"19","Puniceicoccaceae","TN.x",-0.102688086133733,0.715730108866075
"20","Puniceicoccaceae","TOC.x",-0.0972836123489126,0.730161778335184
"21","Puniceicoccaceae","TOM.x",0.017839919277159,0.949683825254188
"22","Rhodobacteraceae","TN.x",-0.09652153294556,0.732203670713599
"23","Rhodobacteraceae","TOC.x",-0.500506770930444,0.0574054754237281
"24","Rhodobacteraceae","TOM.x",-0.575058395078743,0.0249181142616849
"25","Saprospiraceae","TN.x",-0.0749869413081578,0.790546521127237
"26","Saprospiraceae","TOC.x",-0.4372408070269,0.103146172840352
"27","Saprospiraceae","TOM.x",-0.639467436047791,0.0102599689320701
"28","Woeseiaceae","TN.x",-0.296389548906157,0.283421837300511
"29","Woeseiaceae","TOC.x",0.123513891164513,0.660985580848251
"30","Woeseiaceae","TOM.x",-0.314590989778625,0.253454071354529
