"","Season","Family_grouped","Percentage"
"1","Fall","A4b",4.30818931395686
"2","Fall","Alteromonadaceae",1.8329326567966
"3","Fall","BD2-7",1.04027047335289
"4","Fall","Cyclobacteriaceae",3.97401700175475
"5","Fall","Desertifilaceae",2.7110991375643
"6","Fall","Desulfobulbaceae",1.34789623228281
"7","Fall","Desulfocapsaceae",4.5778504250792
"8","Fall","Desulfosarcinaceae",1.42538045901601
"9","Fall","Flammeovirgaceae",1.67337778610797
"10","Fall","Flavobacteriaceae",15.0472829673419
"11","Fall","Halieaceae",4.6484457990892
"12","Fall","Phycisphaeraceae",1.58999182453985
"13","Fall","Pirellulaceae",2.7033232436737
"14","Fall","Puniceicoccaceae",2.7708769433744
"15","Fall","Rare Families",24.5827637510989
"16","Fall","Rhodobacteraceae",10.6346147661505
"17","Fall","Saprospiraceae",6.31441849077755
"18","Fall","Sphingomonadaceae",1.28274960505604
"19","Fall","Spirochaetaceae",1.34191618996153
"20","Fall","Unknown Family",2.19214747860737
"21","Fall","Woeseiaceae",4.00045545441774
"22","Spring","A4b",4.25882689587428
"23","Spring","Alteromonadaceae",1.56068594551671
"24","Spring","Balneolaceae",1.43032393744979
"25","Spring","Cryomorphaceae",2.98391397873902
"26","Spring","Cyclobacteriaceae",6.37718044109922
"27","Spring","Desulfocapsaceae",1.59304563123585
"28","Spring","Flammeovirgaceae",1.55143296511402
"29","Spring","Flavobacteriaceae",11.1938530275101
"30","Spring","Halieaceae",2.78997540697641
"31","Spring","Phycisphaeraceae",2.22816407713679
"32","Spring","Pirellulaceae",3.22138549673936
"33","Spring","Puniceicoccaceae",4.69479465302402
"34","Spring","Rare Families",23.3936251442122
"35","Spring","Rhodobacteraceae",14.0708627568888
"36","Spring","Rhodothermaceae",1.1835457526658
"37","Spring","Rubritaleaceae",1.64304306135104
"38","Spring","Saprospiraceae",7.26781037550335
"39","Spring","Sphingomonadaceae",1.95787501429848
"40","Spring","Thermoanaerobaculaceae",1.11208784489623
"41","Spring","Unknown Family",1.7193611615967
"42","Spring","Woeseiaceae",3.76820643217177
"43","Summer","A4b",5.74836355856976
"44","Summer","Bacteroidetes BD2-2",1.08548927801496
"45","Summer","Balneolaceae",1.36915701017335
"46","Summer","Chromatiaceae",1.04277846258091
"47","Summer","Cryomorphaceae",1.29888440174108
"48","Summer","Cyclobacteriaceae",3.97822371059938
"49","Summer","Desulfocapsaceae",4.02767899984519
"50","Summer","Desulfosarcinaceae",1.07429704941058
"51","Summer","Desulfovibrionaceae",1.20190512698972
"52","Summer","Flammeovirgaceae",1.11133661665539
"53","Summer","Flavobacteriaceae",8.70202918395639
"54","Summer","Halieaceae",3.34804605729258
"55","Summer","Phormidesmiaceae",1.31069374798366
"56","Summer","Phycisphaeraceae",1.69229232126393
"57","Summer","Pirellulaceae",3.46586713894286
"58","Summer","Puniceicoccaceae",4.21501418330629
"59","Summer","Rare Families",29.6679301530748
"60","Summer","Rhodobacteraceae",9.91537691627631
"61","Summer","Rhodothermaceae",1.14004539626619
"62","Summer","Saprospiraceae",5.9531414404419
"63","Summer","Sphingomonadaceae",1.72892947151909
"64","Summer","Spirochaetaceae",1.24592495568984
"65","Summer","Unknown Family",2.47793830351104
"66","Summer","Woeseiaceae",3.19865651589478
"67","Winter","A4b",5.53769189404509
"68","Winter","Cryomorphaceae",1.99392695516899
"69","Winter","Cyclobacteriaceae",4.48123395673889
"70","Winter","Desulfocapsaceae",2.95554489300311
"71","Winter","Desulfovibrionaceae",1.20562791950572
"72","Winter","Flavobacteriaceae",11.3842427147879
"73","Winter","Halieaceae",2.96668030158674
"74","Winter","Halomonadaceae",1.1063625437925
"75","Winter","Marinobacteraceae",1.61750124024221
"76","Winter","Phycisphaeraceae",2.12275079742355
"77","Winter","Pirellulaceae",2.77226354084233
"78","Winter","Puniceicoccaceae",4.39344678515415
"79","Winter","Rare Families",29.1839197157512
"80","Winter","Rhodobacteraceae",12.6932619635854
"81","Winter","Rubritaleaceae",1.06053454346103
"82","Winter","Saprospiraceae",6.40272718609714
"83","Winter","Spirochaetaceae",1.43888979837798
"84","Winter","Unknown Family",1.43193569556003
"85","Winter","Vibrionaceae",2.28332703616702
"86","Winter","Woeseiaceae",2.968130518709
