"","Site","Family_grouped","Percentage"
"1","SB","A4b",5.16828082843495
"2","SB","Alteromonadaceae",1.55779465346195
"3","SB","Balneolaceae",1.4533229340029
"4","SB","Cryomorphaceae",2.06241215276446
"5","SB","Cyclobacteriaceae",5.05232099385082
"6","SB","Desertifilaceae",1.34873944533761
"7","SB","Desulfocapsaceae",2.38701994224981
"8","SB","Desulfovibrionaceae",1.33299904434713
"9","SB","Flammeovirgaceae",1.71890814574978
"10","SB","Flavobacteriaceae",9.51211683909163
"11","SB","Halieaceae",3.08856481215946
"12","SB","Marinobacteraceae",1.69554183759533
"13","SB","Phormidesmiaceae",1.14366235328875
"14","SB","Phormidiaceae",1.20772685722001
"15","SB","Phycisphaeraceae",2.50145734602699
"16","SB","Pirellulaceae",2.57050907093072
"17","SB","Puniceicoccaceae",6.46709658895181
"18","SB","Rare Families",27.5289709782839
"19","SB","Rhodobacteraceae",11.8773243559978
"20","SB","Saprospiraceae",4.13324403242032
"21","SB","Sphingomonadaceae",1.63557552426023
"22","SB","Spirochaetaceae",1.67206043467309
"23","SB","Unknown Family",1.47029807087875
"24","SB","Woeseiaceae",1.41405275802186
"25","TM","A4b",5.39015765584926
"26","TM","Balneolaceae",1.08978531596395
"27","TM","Cryomorphaceae",1.4056058989667
"28","TM","Cyclobacteriaceae",4.0294383557931
"29","TM","Desulfocapsaceae",4.20950389563896
"30","TM","Desulfosarcinaceae",1.1963511086064
"31","TM","Flavobacteriaceae",11.2202963873535
"32","TM","Halieaceae",3.51548731088506
"33","TM","Phormidesmiaceae",1.00494791807858
"34","TM","Phycisphaeraceae",1.4542192325768
"35","TM","Pirellulaceae",3.52492497011059
"36","TM","Puniceicoccaceae",2.65928074785516
"37","TM","Rare Families",29.0357583987043
"38","TM","Rhodobacteraceae",10.8856068521854
"39","TM","Rhodothermaceae",1.15318418079154
"40","TM","Rubritaleaceae",1.04054685692362
"41","TM","Saprospiraceae",7.65050261118204
"42","TM","Sphingomonadaceae",1.36203662563278
"43","TM","Unknown Family",2.45410868453467
"44","TM","Vibrionaceae",1.19162213778188
"45","TM","Woeseiaceae",4.52663485458574
